股票代码,所属概念,所属概念数量,market_code,code
688392.SH,先进封装;芯片概念;PET铜箔;液冷服务器;专精特新;比亚迪概念;宁德时代概念;军工;固态电池;新能源汽车;碳纤维;储能;人形机器人;人工智能;锂电池概念;医疗器械概念;沪股通;融资融券,18,17,688392
301096.SZ,创新药;幽门螺杆菌概念;CRO概念;仿制药一致性评价;流感;眼科医疗;毛发医疗;医美概念;医疗器械概念;智能医疗;宠物经济;人工智能;AI应用;深股通;融资融券,15,33,301096
300877.SZ,储能;2025年报预增;创投;特斯拉概念;融资融券,5,33,300877
300084.SZ,可燃冰;俄乌冲突概念;军工;页岩气;西部大开发;核电;海工装备;氢能源;天然气;高端装备;人工智能;深股通;股权转让(并购重组),13,33,300084
301236.SZ,华为盘古;ERP概念;华为欧拉;财税数字化;华为鲲鹏;ChatGPT概念;多模态AI;信创;数据安全;云计算;华为昇腾;鸿蒙概念;AI PC;AIGC概念;数字货币;虚拟数字人;国产操作系统;中国AI 50;AI智能体;数据要素;AI应用;在线教育;数字乡村;百度概念;抖音概念(字节概念);跨境支付(CIPS);区块链;元宇宙;算力租赁;阿里巴巴概念;互联网金融;腾讯概念;数字经济;车联网(车路协同);数字孪生;DeepSeek概念;人工智能;东数西算(算力);工业互联网;职业教育;英伟达概念;华为概念;京津冀一体化;长安汽车概念;人形机器人;智能医疗;机器人概念;智能座舱;换电概念;无人驾驶;跨境电商;小米概念;低空经济;虚拟电厂;养老概念;一带一路;液冷服务器;5G;芯片概念;深股通;融资融券,61,33,301236
300762.SZ,卫星导航;商业航天;军工信息化;军民融合;芯片概念;军工;无人机;专精特新;5G;机器人概念;智慧城市;人工智能;深股通;融资融券,14,33,300762
688328.SH,存储芯片;先进封装;共封装光学(CPO);第三代半导体;OLED;芯片概念;MiniLED;柔性屏(折叠屏);消费电子概念;电子纸;AI眼镜;MR(混合现实);智能穿戴;专精特新;华为概念;虚拟现实;小米概念;锂电池概念;机器视觉;新能源汽车;新型工业化;机器人概念;融资融券,23,17,688328
688272.SH,军民融合;卫星导航;无人机;军工;量子科技;车联网(车路协同);机器视觉;专精特新;机器人概念;无人驾驶;芯片概念;融资融券,12,17,688272
688168.SH,网络安全;国产操作系统;云计算;东数西算(算力);信创;数据安全;数据中心(AIDC);AI智能体;华为概念;百度概念;人工智能;DeepSeek概念;换电概念;专精特新;沪股通;融资融券,16,17,688168
920402.BJ,融资融券;碳中和;国企改革;氢能源;光伏概念;硅能源;芯片概念,7,151,920402
301611.SZ,光刻机;存储芯片;第三代半导体;OLED;芯片概念;专精特新;锂电池概念;燃料电池;医疗器械概念;深股通;融资融券,11,33,301611
688818.SH,卫星导航;商业航天;科创次新股;军工;无人机;注册制次新股;智能电网;机器人概念;光伏概念;储能;燃料电池;锂电池概念;央企国企改革;固态电池;国企改革;钠离子电池;新股与次新股;融资融券,18,17,688818
920961.BJ,卫星导航;芯片概念;股权转让(并购重组);军工信息化;商业航天;华为概念;无人驾驶;太赫兹;车联网(车路协同);星闪概念;融资融券;毫米波雷达;军工;专精特新;5G;6G概念;低空经济,17,151,920961
300720.SZ,物联网;机器人概念;深股通;股权转让(并购重组),4,33,300720
688028.SH,培育钻石;OLED;芯片概念;工业母机;新能源汽车;人形机器人;核电;沪股通;融资融券,9,17,688028
688535.SH,存储芯片;先进封装;汽车芯片;芯片概念;汽车电子;专精特新;华为概念;光伏概念;股权转让(并购重组);沪股通;融资融券,11,17,688535
600545.SH,华为概念;人民币贬值受益;新型工业化;机器人概念;沪股通;融资融券;一带一路;AI智能体;西部大开发;DeepSeek概念;新疆振兴,11,17,600545
601016.SH,绿色电力;风电;储能;新疆振兴;央企国企改革;国企改革;京津冀一体化;沪股通;融资融券,9,17,601016
002910.SZ,网红经济;乳业;宠物经济;生态农业;乡村振兴;西部大开发;国企改革,7,33,002910
603861.SH,柔性直流输电;智能电网;华为数字能源;特高压;东数西算(算力);核电;数据中心(AIDC);一带一路;储能;华为概念;新能源汽车;光伏概念;宁德时代概念;沪股通,14,17,603861
002930.SZ,东数西算(算力);粤港澳大湾区;智能物流;统一大市场;融资融券;深股通,6,33,002930
002129.SZ,BC电池;硅能源;HJT电池;TOPCON电池;中芯国际概念;光伏概念;芯片概念;绿色电力;商业航天;同花顺漂亮100;一带一路;深股通;融资融券,13,33,002129
603903.SH,污水处理;氢能源;雄安新区;京津冀一体化;PPP概念;股权转让(并购重组),6,17,603903
605366.SH,有机硅概念;光纤概念;硅能源;光伏概念;一带一路;风电;沪股通;融资融券,8,17,605366
002253.SZ,人脸识别;华为昇腾;语音技术;安防;网络安全;信创;华为鲲鹏;华为概念;智慧政务;云计算;虚拟现实;车联网(车路协同);元宇宙;卫星导航;人工智能;数据要素;职业教育;军工信息化;智慧城市;军工;军民融合;低空经济;数字孪生;成飞概念;西部大开发;虚拟电厂;摘帽,27,33,002253
605296.SH,猪肉;预制菜;乡村振兴;西部大开发;沪股通,5,17,605296
001289.SZ,抽水蓄能;碳交易;绿色电力;新疆振兴;碳中和;风电;国企改革;央企国企改革;乡村振兴;光热发电;同花顺漂亮100;DeepSeek概念;一带一路;融资融券;深股通,15,33,001289
001210.SZ,建筑节能;新疆振兴;液冷服务器;数据确权;数据中心(AIDC);京津冀一体化;量子科技;储能;工业互联网;2025年报预增,10,33,001210
605399.SH,有机硅概念;硅能源;专精特新;融资融券,4,17,605399
600962.SH,房屋检测;人民币贬值受益;芯片概念;智慧城市;工业互联网;中芯国际概念;央企国企改革;国企改革;沪股通;股权转让(并购重组),10,17,600962
002119.SZ,存储芯片;先进封装;芯片概念;专精特新;核电;自由贸易港;深股通;融资融券,8,33,002119
000823.SZ,共封装光学(CPO);PCB概念;苹果概念;消费电子概念;毫米波雷达;5G;汽车电子;AI眼镜;传感器;卫星导航;商业航天;数据中心(AIDC);比亚迪概念;东数西算(算力);无人机;虚拟现实;无人驾驶;深股通;融资融券;国企改革;证金持股,21,33,000823
002962.SZ,MR(混合现实);汽车电子;消费电子概念;虚拟现实;小米概念;华为概念;安防;专精特新;人民币贬值受益,9,33,002962
002559.SZ,OLED;芯片概念;光刻胶;工业母机;存储芯片;比亚迪概念;机器视觉;新能源汽车;光伏概念;华为概念;新型工业化;军工;机器人概念;高端装备;信创;工业互联网;军民融合;智能物流;深股通,19,33,002559
002965.SZ,汽车热管理;人形机器人;华为汽车;一体化压铸;飞行汽车(eVTOL);特斯拉概念;无人驾驶;新型工业化;智能座舱;小米汽车;新能源汽车;机器视觉;比亚迪概念;机器人概念;低空经济;小米概念;光伏概念;液冷服务器;5G;宁德时代概念;华为概念;充电桩;粤港澳大湾区;创投;储能;数据中心(AIDC);华为数字能源;信创;融资融券;深股通,30,33,002965
600343.SH,军民融合;大飞机;商业航天;军工;高端装备;水利;央企国企改革;西部大开发;国企改革;氢能源;煤化工概念;沪股通;融资融券,13,17,600343
603163.SH,中芯国际概念;芯片概念;富士康概念;海峡两岸;一带一路;沪股通,6,17,603163
001270.SZ,6G概念;卫星导航;商业航天;第三代半导体;军工信息化;军民融合;5G;芯片概念;军工;专精特新;共同富裕示范区;深股通;摘帽,13,33,001270
600367.SH,固态电池;锂电池概念;钠离子电池;小金属概念;国企改革;西部大开发;沪股通;融资融券,8,17,600367
603698.SH,军民融合;军工;高端装备;核电;氢能源;碳中和;国企改革;煤化工概念;沪股通;融资融券,10,17,603698
001400.SZ,商业航天;3D打印;高铁;专精特新;液冷服务器;汽车热管理;新能源汽车;风电;深股通;融资融券,10,33,001400
601133.SH,中芯国际概念;存储芯片;OLED;柔性屏(折叠屏);芯片概念;装配式建筑;沪股通;融资融券,8,17,601133
603956.SH,新型城镇化;AI应用;水利;数字乡村;数字孪生;AI智能体;智谱AI;人工智能;数据要素;乡村振兴;智慧城市;DeepSeek概念;物联网;数字经济;净水概念;区块链;信创;工业互联网;华为鲲鹏;空间计算;华为昇腾;新型工业化;华为概念;机器人概念;专精特新;液冷服务器;地下管网,27,17,603956
603261.SH,成飞概念;大飞机;军民融合;军工;高端装备;无人机;西部大开发;低空经济;可控核聚变;摘帽,10,17,603261
603722.SH,丙烯酸;专精特新;人民币贬值受益;燃料电池,4,17,603722
002106.SZ,电子纸;柔性屏(折叠屏);汽车电子;消费电子概念;小米概念;华为概念;先进封装;新能源汽车;石墨烯;海峡两岸;粤港澳大湾区;人民币贬值受益;绿色电力;深股通;融资融券,15,33,002106
002568.SZ,超级品牌;长三角一体化;深股通;融资融券,4,33,002568
001389.SZ,PCB概念;共封装光学(CPO);富士康概念;AI PC;5G;汽车电子;消费电子概念;数据中心(AIDC);卫星导航;商业航天;华为概念;2026一季报预增;粤港澳大湾区;机器人概念;安防;人民币贬值受益;人工智能;一带一路;融资融券;深股通,20,33,001389
600118.SH,国产航母;卫星导航;大飞机;商业航天;军民融合;6G概念;中字头股票;军工;无人机;低空经济;高端装备;水利;央企国企改革;人工智能;一带一路;京津冀一体化;芯片概念;国企改革;智能医疗;沪股通;融资融券,21,17,600118
600481.SH,硅能源;光热发电;光伏概念;专精特新;氢能源;高端装备;碳中和;工业互联网;储能;核电;DeepSeek概念;液冷服务器;数据中心(AIDC);超超临界发电;融资融券;沪股通,16,17,600481
603687.SH,钙钛矿电池;烟草;数字水印;共同富裕示范区;数字孪生;光伏概念;AIGC概念;芯片概念;DeepSeek概念;人工智能;锂电池概念;工业互联网;物联网;ChatGPT概念;沪股通,15,17,603687
001215.SZ,三胎概念;海峡两岸;预制菜,3,33,001215
600552.SH,柔性屏(折叠屏);MiniLED;先进封装;OLED;汽车电子;消费电子概念;PCB概念;无线充电;芯片概念;新能源汽车;商业航天;华为概念;光伏概念;有机硅概念;锂电池概念;固态电池;国企改革;央企国企改革;沪股通;融资融券,20,17,600552
002674.SZ,华为汽车;PPP概念;固废处理;海峡两岸,4,33,002674
003033.SZ,人形机器人;长安汽车概念;比亚迪概念;机器人概念;农机;数字经济;专精特新;深股通,8,33,003033
603650.SH,光刻胶;中芯国际概念;存储芯片;OLED;芯片概念;石墨烯;上海自贸区;可降解塑料;融资融券;沪股通,10,17,603650
603270.SH,减速器;人形机器人;专精特新;机器人概念;比亚迪概念;新能源汽车;燃料电池;飞行汽车(eVTOL);低空经济;碳纤维;商业航天;氢能源;风电;芯片概念;沪股通;融资融券,16,17,603270
600228.SH,人工智能;DeepSeek概念;苹果概念;小米概念;AI智能体;小红书概念;抖音概念(字节概念);拼多多概念;百度概念;摘帽,10,17,600228
603194.SH,共同富裕示范区;人民币贬值受益;智能物流;汽车拆解概念;机器人概念;军工;新能源汽车;锂电池概念;储能;沪股通;融资融券,11,17,603194
600539.SH,股权转让(并购重组);小红书概念;AI应用;净水概念;机器视觉;污水处理;海峡两岸;锂电池概念;跨境电商;宠物经济;光伏概念,11,17,600539
603155.SH,光刻胶;有机硅概念;芯片概念;锂电池概念;国企改革;沪股通;股权转让(并购重组),7,17,603155
603928.SH,丙烯酸;锂电池概念;光刻胶;3D打印;高铁;2025年报预增;新能源汽车;芯片概念;在线教育;大飞机;风电;先进封装,12,17,603928
603977.SH,商业航天;民爆概念;军工信息化;军工;3D打印;军民融合;无人机;芯片概念;高铁;虚拟现实;雅下水电概念;小金属概念;国企改革;数字经济;工业互联网;元宇宙;智慧政务;DeepSeek概念;AI应用;沪股通,20,17,603977
002180.SZ,高端装备;机器人概念;物联网;人形机器人;智能座舱;鸿蒙概念;军工;信创;人民币贬值受益;小米概念;汽车电子;储能;芯片概念;MCU芯片;汽车芯片;深股通;融资融券,17,33,002180
000620.SZ,短剧游戏;数据要素;AI智能体;存储芯片;京津冀一体化;芯片概念;体育产业;IP经济(谷子经济);旅游概念;乡村振兴;参股银行;深股通;数据中心(AIDC),13,33,000620
601369.SH,超超临界发电;煤化工概念;虚拟电厂;天然气;页岩气;碳中和;核电;氢能源;西部大开发;国企改革;一带一路;高端装备;高股息精选;数据安全;储能;军工;商业航天;融资融券;沪股通,19,17,601369
002354.SZ,AI视频;虚拟数字人;AI语料;Web3.0;小红书概念;在线教育;快手概念;手机游戏;短剧游戏;ChatGPT概念;文化传媒概念;AIGC概念;网络游戏;电子竞技;元宇宙;多模态AI;数据确权;数字孪生;AI应用;IP经济(谷子经济);云计算;数据要素;抖音概念(字节概念);AI智能体;百度概念;信创;腾讯概念;数字经济;DeepSeek概念;人工智能;算力租赁;跨境电商;智能医疗;虚拟现实;机器视觉;MR(混合现实);乡村振兴;人形机器人;机器人概念;东数西算(算力);虚拟电厂;芯片概念;深股通;融资融券,44,33,002354
002141.SZ,动物疫苗;广东自贸区;锂电池概念;粤港澳大湾区;创投;独角兽概念;PCB概念;横琴新区;摘帽,9,33,002141
300102.SZ,卫星导航;商业航天;军工;福建自贸区;海峡两岸;光伏概念;汽车电子;消费电子概念;芯片概念;智能家居;人脸识别;家用电器;第三代半导体;共封装光学(CPO);MicroLED概念;MiniLED;深股通,17,33,300102
300243.SZ,PCB概念;固态电池;锂电池概念;磷化工;可降解塑料;风电;合成生物,7,33,300243
920489.BJ,融资融券;国企改革;可降解塑料;光刻胶;专精特新,5,151,920489
688663.SH,华为数字能源;数据中心(AIDC);可控核聚变;光热发电;光伏概念;储能;风电;核电;阿里巴巴概念;国企改革;稀土永磁;沪股通;融资融券;股权转让(并购重组),14,17,688663
688359.SH,PCB概念;PET铜箔;HJT电池;TOPCON电池;光伏概念;沪股通;融资融券,7,17,688359
300727.SZ,有机硅概念;液冷服务器;染料;硅能源;东数西算(算力);医美概念;深股通,7,33,300727
300900.SZ,卫星导航;成飞概念;航空发动机;商业航天;大飞机;军民融合;军工;无人机;低空经济;海工装备;专精特新;飞行汽车(eVTOL);高端装备;碳纤维;机器人概念;人形机器人;黑龙江自贸区;深股通;融资融券,19,33,300900
300382.SZ,人形机器人;新能源汽车;专精特新;宁德时代概念;储能;机器人概念;C2M概念;工业互联网;锂电池概念;减速器;绿色电力;融资融券;深股通,13,33,300382
688102.SH,航空发动机;商业航天;可控核聚变;3D打印;共封装光学(CPO);芯片概念;核电;特高压;新能源汽车;充电桩;独角兽概念;DeepSeek概念;医疗器械概念;西部大开发;沪股通;融资融券,16,17,688102
301526.SZ,PCB概念;华为手机;5G;消费电子概念;汽车电子;特高压;光伏概念;华为概念;风电;工业互联网;绿色电力;数字经济;一带一路;西部大开发;国企改革;深股通;融资融券,17,33,301526
688448.SH,数据中心(AIDC);污水处理;融资融券,3,17,688448
688003.SH,英伟达概念;苹果概念;PCB概念;先进封装;第三代半导体;机器视觉;芯片概念;消费电子概念;新型工业化;高端装备;人形机器人;专精特新;无人驾驶;小米概念;新能源汽车;机器人概念;低空经济;车联网(车路协同);光伏概念;百度概念;人工智能;智能物流;DeepSeek概念;共封装光学(CPO);存储芯片;汽车热管理;沪股通;融资融券,28,17,688003
301588.SZ,粤港澳大湾区;人民币贬值受益;商业航天;融资融券,4,33,301588
688665.SH,汽车电子;传感器;小米概念;专精特新;固态电池;新能源汽车;PM2.5;锂电池概念;储能;沪股通;融资融券,11,17,688665
001335.SZ,染料;一带一路;人民币贬值受益;融资融券,4,33,001335
300321.SZ,国企改革;证金持股,2,33,300321
002456.SZ,智能座舱;星闪概念;小米概念;汽车电子;AI眼镜;传感器;虚拟现实;消费电子概念;无人驾驶;长安汽车概念;车联网(车路协同);毫米波雷达;华为概念;人形机器人;机器人概念;人脸识别;柔性屏(折叠屏);元宇宙;智慧城市;海峡两岸;智能家居;MR(混合现实);机器视觉;OLED;医疗器械概念;深股通;融资融券;股权转让(并购重组),28,33,002456
603938.SH,光纤概念;存储芯片;芯片概念;有机硅概念;硅能源;光伏概念;海峡两岸;京津冀一体化;沪股通;融资融券,10,17,603938
688349.SH,绿色电力;氢能源;风电;DeepSeek概念;海工装备;数字经济;沪股通;融资融券,8,17,688349
603065.SH,专精特新;光伏概念;职业教育,3,17,603065
300776.SZ,MicroLED概念;第三代半导体;BC电池;先进封装;MiniLED;OLED;钙钛矿电池;消费电子概念;HJT电池;PCB概念;芯片概念;TOPCON电池;光伏概念;融资融券;深股通,15,33,300776
300821.SZ,有机硅概念;硅能源;2026一季报预增;燃料电池;融资融券;深股通,6,33,300821
920970.BJ,食品安全;融资融券;专精特新;猪肉,4,151,920970
600206.SH,中芯国际概念;国家大基金持股;存储芯片;先进封装;光纤概念;OLED;芯片概念;稀土永磁;5G;军工;牙科医疗;华为概念;2025年报预增;医疗器械概念;央企国企改革;雄安新区;京津冀一体化;国企改革;沪股通;融资融券,20,17,600206
300398.SZ,存储芯片;光纤概念;中芯国际概念;先进封装;第三代半导体;光刻胶;OLED;芯片概念;电子纸;光伏概念;新能源汽车;深股通;融资融券,13,33,300398
300717.SZ,可降解塑料;ETC;电子身份证;专精特新;参股银行;煤化工概念,6,33,300717
301629.SZ,存储芯片;芯片概念;专精特新;机器视觉;华为概念;比亚迪概念;深股通;融资融券,8,33,301629
688519.SH,PCB概念;存储芯片;共封装光学(CPO);MiniLED;5G;新能源汽车;专精特新;华为概念;2025年报预增;沪股通;融资融券,11,17,688519
000668.SZ,物业管理;摘帽,2,33,000668
003036.SZ,固态电池;锂电池概念;新型工业化;机器人概念;高端装备;共同富裕示范区;参股银行;深股通,8,33,003036
000004.SZ,,0,37,000004
688772.SH,钠离子电池;固态电池;飞行汽车(eVTOL);锂电池概念;低空经济;DeepSeek概念;机器人概念;无人机;人形机器人;人民币贬值受益;储能;粤港澳大湾区;新能源汽车;家用电器;华为概念;华为手机;小米概念;数据中心(AIDC);苹果概念;同花顺果指数;消费电子概念;智能穿戴;融资融券;沪股通,24,17,688772
688387.SH,6G概念;卫星导航;商业航天;5G;芯片概念;东数西算(算力);专精特新;低空经济;机器视觉;网络安全;物联网;车联网(车路协同);工业互联网;人工智能;DeepSeek概念;AI应用;央企国企改革;国企改革;沪股通;融资融券,20,17,688387
300212.SZ,财税数字化;国资云;数据确权;华为鲲鹏;数据要素;AI智能体;智慧政务;数据安全;数字孪生;养老概念;华为数字能源;阿里巴巴概念;百度概念;独角兽概念;ST板块;雄安新区;信创;PPP概念;京津冀一体化;乡村振兴;网络安全;数字经济;DeepSeek概念;智慧城市;智能医疗;人工智能;国企改革;创投;央企国企改革;物联网;车联网(车路协同);一带一路;东数西算(算力);华为概念;数据中心(AIDC);无人驾驶,36,33,300212
300420.SZ,新型工业化;智能物流;智慧城市;物联网;机器人概念;军民融合;区块链;充电桩;液冷服务器;储能;股权转让(并购重组),11,33,300420
600520.SH,先进封装;芯片概念;股权转让(并购重组);机器人概念;国企改革;沪股通,6,17,600520
300666.SZ,中芯国际概念;光刻机;存储芯片;OLED;第三代半导体;芯片概念;光伏概念;碳纤维;海峡两岸;深股通;中韩自贸区;共同富裕示范区;融资融券,13,33,300666
002617.SZ,第三代半导体;芯片概念;电力物联网;5G;智能家居;新能源汽车;人形机器人;机器人概念;特斯拉概念;绿色电力;跨境电商;深股通;融资融券,13,33,002617
301188.SZ,医疗器械概念;深股通;融资融券,3,33,301188
301232.SZ,航空发动机;商业航天;大飞机;无人机;3D打印;核电;低空经济;专精特新;机器人概念;工业互联网;风电;深股通;融资融券,13,33,301232
603661.SH,培育钻石;芯片概念;智能家居;人民币贬值受益;一带一路;跨境电商;沪股通,7,17,603661
301392.SZ,第三代半导体;PET铜箔;富士康概念;芯片概念;苹果概念;钙钛矿电池;TOPCON电池;专精特新;光伏概念;比亚迪概念;锂电池概念;融资融券;深股通,13,33,301392
000703.SZ,可降解塑料;参股银行;西部大开发;一带一路;互联网金融;融资融券;深股通;阿里巴巴概念,8,33,000703
603256.SH,PCB概念;华为手机;苹果概念;芯片概念;5G;消费电子概念;数据中心(AIDC);专精特新;华为概念;2025年报预增;海峡两岸;沪股通,12,17,603256
002208.SZ,独角兽概念;租售同权;新型城镇化;创投;养老概念;长三角一体化;物业管理;国企改革;深股通,9,33,002208
301046.SZ,人形机器人;机器人概念;换电概念;智能电网;储能;光伏概念;东数西算(算力);光热发电;新型城镇化;虚拟电厂;光伏建筑一体化;绿色电力;融资融券,13,33,301046
603281.SH,硅能源;有机硅概念;光伏概念;人民币贬值受益;高股息精选;沪股通,6,17,603281
688605.SH,光刻机;中芯国际概念;芯片概念;专精特新;光伏概念;商业航天;医疗器械概念;沪股通;融资融券,9,17,688605
002787.SZ,液冷服务器;芯片概念;锂电池概念;长三角一体化;2025年报预增;海峡两岸;食品安全;创投;深股通,9,33,002787
600619.SH,光刻机;上海自贸区;汽车热管理;比亚迪概念;空气能热泵;新能源汽车;上海国企改革;芯片概念;家用电器;小米概念;2025年报预增;一带一路;储能;高压快充;冷链物流;国企改革;沪股通;融资融券,18,17,600619
002668.SZ,跨境电商;家用电器;一带一路;智能家居;人民币贬值受益;人工智能;深股通;融资融券,8,33,002668
603010.SH,OLED;PCB概念;芯片概念;比亚迪概念;新能源汽车;磷化工;锂电池概念;合成生物;融资融券;沪股通,10,17,603010
605376.SH,3D打印;专精特新;光伏概念;锂电池概念;2025年报预增;硅能源;金属镍;人民币贬值受益;小金属概念;融资融券;沪股通,11,17,605376
002579.SZ,AI PC;PCB概念;共封装光学(CPO);AI手机;无线耳机;MiniLED;MicroLED概念;AI眼镜;先进封装;新型烟草(电子烟);智能音箱;汽车电子;消费电子概念;5G;OLED;智能穿戴;WiFi 6;柔性屏(折叠屏);毫米波雷达;6G概念;小米概念;数据中心(AIDC);存储芯片;东数西算(算力);芯片概念;储能;比亚迪概念;海峡两岸;新能源汽车;广东自贸区;无人驾驶;物联网;商业航天;卫星导航;粤港澳大湾区;人形机器人;工业互联网;无人机;机器人概念;军工;低空经济;数字经济;创投;医疗器械概念;军民融合;融资融券;养老概念;深股通,48,33,002579
601636.SH,硅能源;建筑节能;光伏概念;芯片概念;沪股通;融资融券,6,17,601636
002225.SZ,中俄贸易概念;燃料电池;氢能源;碳中和;小金属概念;俄乌冲突概念;证金持股;深股通,8,33,002225
688361.SH,国家大基金持股;中芯国际概念;存储芯片;先进封装;芯片概念;同花顺新质50;沪股通;融资融券,8,17,688361
605358.SH,中芯国际概念;第三代半导体;存储芯片;汽车芯片;芯片概念;共封装光学(CPO);5G;汽车电子;硅能源;卫星导航;光伏概念;商业航天;专精特新;比亚迪概念;人形机器人;无人驾驶;机器人概念;充电桩;融资融券;沪股通,20,17,605358
300293.SZ,光刻机;新型工业化;工业母机;高端装备;特斯拉概念;人民币贬值受益;人工智能;氢能源;一带一路;深股通,10,33,300293
300801.SZ,氟化工概念;光刻胶;丙烯酸;固态电池;磷化工;钠离子电池;PEEK材料;消毒剂;锂电池概念;化肥;净水概念;芯片概念;PCB概念;脑机接口;储能;人民币贬值受益;合成生物;工业互联网;深股通,19,33,300801
688720.SH,国家大基金持股;存储芯片;中芯国际概念;先进封装;光刻胶;OLED;PCB概念;芯片概念;专精特新;2025年报预增;沪股通;融资融券,12,17,688720
002859.SZ,PCB概念;PET铜箔;消费电子概念;超导概念;可控核聚变;专精特新;宁德时代概念;固态电池;锂电池概念;一带一路;深股通;融资融券,12,33,002859
603324.SH,中芯国际概念;光刻胶;先进封装;芯片概念;专精特新;宁德时代概念;华为海思概念股;华为概念,8,17,603324
300780.SZ,工业母机;减速器;机器视觉;新型工业化;云计算;专精特新;机器人概念;AIGC概念;物联网;商业航天;军民融合;军工;低空经济;工业互联网;比亚迪概念;中俄贸易概念;农机;3D打印;新能源汽车;跨境电商;西部大开发,21,33,300780
301138.SZ,机器人概念;机器视觉;人工智能;融资融券,4,33,301138
001309.SZ,存储芯片;中芯国际概念;共封装光学(CPO);芯片概念;AI PC;汽车电子;智能穿戴;数据中心(AIDC);专精特新;粤港澳大湾区;2025年报预增;人民币贬值受益;人工智能;融资融券;深股通,15,33,001309
688603.SH,PCB概念;先进封装;芯片概念;沪股通;融资融券,5,17,688603
600193.SH,,0,21,600193
688037.SH,中芯国际概念;存储芯片;先进封装;光刻胶;芯片概念;华为海思概念股;专精特新;国企改革;沪股通;融资融券,10,17,688037
002202.SZ,商业航天;东数西算(算力);柔性直流输电;智能电网;特高压;海工装备;储能;独角兽概念;工业互联网;风电;人工智能;抽水蓄能;氢能源;创投;碳中和;绿色电力;碳交易;污水处理;西部大开发;新疆振兴;PPP概念;煤化工概念;同花顺出海50;深股通;融资融券,25,33,002202
000920.SZ,盐湖提锂;芯片概念;液冷服务器;央企国企改革;净水概念;西部大开发;污水处理;参股银行;国企改革;参股券商;深股通,11,33,000920
